label| style           | text
    1| sms_no_diacritic| TK 102xxx bi tam khoa do dang nhap la. Vui long xac minh tai: http://nganhang-online.com de mo lai.
    1| sms_no_diacritic| Giao dich 5.000.000 VND dang cho duyet. Neu khong phai ban, truy cap http://bit.ly/bank-security de huy ngay.
    1| sms_no_diacritic| Ban co khoan hoan tien 2tr tu Shopee. Nhap ma OTP gui ve dien thoai de nhan tien ngay.
    1| sms_no_diacritic| Canh bao! He thong phat hien truy cap tu la. Dang nhap http://portal-bank.vn de doi mat khau gap.
    1| sms_no_diacritic| Quy khach chua cap nhat sinh trac hoc. Tai khoan se bi khoa sau 2h. Lam theo huong dan tai: http://vnbank-id.com
    1| sms_no_diacritic| Chuc mung ban nhan duoc qua tang tri an 1 trieu dong. Truy cap http://quatang-bank.top de rut thuong.
    1| sms_no_diacritic| Lenh chuyen tien di 10tr dang duoc thuc hien. Neu khong phai ban, cung cap ma OTP cho tong dai vien de chan.
    1| sms_no_diacritic| Dich vu Mobile Banking bi loi. Vui long dang nhap lai tai http://link-bank.net de khong bi gian doan.
    1| sms_no_diacritic| Xac nhan thong tin ca nhan de tranh bi khoa the vinh vien. Click: http://xacminh-bank.org
    1| sms_no_diacritic| Phat hien thiet bi la dang nhap tai HCM. Neu khong phai ban, truy cap http://security-alert.cc de bao mat.
    1| sms_no_diacritic| Tai khoan cua ban bi nghi ngo gian lan. Cung cap ma OTP vua gui de chung toi kiem tra.
    1| sms_no_diacritic| Han muc tin dung cua ban duoc nang len 100tr. Dang ky ngay tai link: http://nang-han-muc.com
    1| sms_no_diacritic| Ngan hang thong bao: Yeu cau rut tien 20tr dang xu ly. Nhap OTP tai http://huy-lenh.com de dung giao dich.
    1| sms_no_diacritic| Quy khach co don hang can thanh toan 3tr. Truy cap link de xac nhan hoac cung cap OTP de huy bo.
    1| sms_no_diacritic| Khan cap! TK cua ban dang bi tan cong. Vui long cung cap ma OTP de nhan vien ho tro bao mat.
    1| sms_no_diacritic| Dich vu Smart OTP dang bi tam ngung. Dang nhap http://update-otp.com de kich hoat lai ngay.
    1| sms_no_diacritic| Thong bao xac thuc tai khoan dinh ky. Quy khach vui long click: http://account-verify.me
    1| sms_no_diacritic| Nhan tien hoan thue thu nhap ca nhan nam 2024 tai: http://thue-gov.net. Nhap OTP de hoan tat.
    1| sms_no_diacritic| Phat hien giao dich quoc te 500 USD. Truy cap http://bank-safe.com de bao cao gian lan.
    1| sms_no_diacritic| The ATM cua ban se bi khoa do loi he thong. Vui long cap nhat thong tin tai link kem theo.
    0| sms_no_diacritic| TK 123xxx: +500,000VND luc 10:30. Noi dung: chuyen tien an trua. So du: 15,200,000VND.
    0| sms_no_diacritic| Ma OTP cua ban la 456789. Ma co hieu luc trong 2 phut. Khong chia se ma nay voi bat ky ai.
    0| sms_no_diacritic| TK 123xxx: -2,000,000VND tai ATM so 05. So du: 13,200,000VND.
    0| sms_no_diacritic| Lich thanh toan lai vay ky thang 3 la 1,500,000VND vao ngay 05/03. Vui long duy tri so du.
    0| sms_no_diacritic| Ngan hang thong bao bao tri he thong tu 0h-2h ngay 06/03. Giao dich co the bi gian doan.
    0| sms_no_diacritic| Quy khach da thanh toan thanh cong hoa don dien so 789456. So tien: 450,000VND.
    0| sms_no_diacritic| Ban vua dang nhap vao ung dung Mobile Banking tren thiet bi iPhone 15 luc 19:00.
    0| sms_no_diacritic| Cam on quy khach da mo tai khoan tai ngan hang chung toi. Chuc quy khach trai nghiem vui ve.
    0| sms_no_diacritic| The tin dung cua quy khach da duoc phat hanh thanh cong va dang tren duong giao den ban.
    0| sms_no_diacritic| Diem thuong cua ban la 5,000. Han su dung den 31/12. Vui long vao app de doi qua.
    0| sms_no_diacritic| TK 123xxx: -50,000VND thanh toan tai sieu thi. So du: 13,150,000VND.
    0| sms_no_diacritic| Quy khach da thay doi mat khau ung dung thanh cong. Neu khong phai ban, goi 1900xxxx.
    0| sms_no_diacritic| Thong bao nhan luong thang 02/2026: +20,000,000VND. So du: 33,150,000VND.
    0| sms_no_diacritic| Quy khach vui long hoan tat thu tuc cap nhat CCCD tai chi nhanh gan nhat truoc ngay 30/03.
    0| sms_no_diacritic| TK 123xxx: +1,000,000VND tu NGUYEN VAN A. Noi dung: Tra tien hang.
    0| sms_no_diacritic| Ma xac thuc thanh toan truc tuyen cua ban la 987123. Tuyet doi bao mat ma nay.
    0| sms_no_diacritic| Ban da dang ky thanh cong dich vu bao bao so du qua SMS. Phi duy tri 11.000VND/thang.
    0| sms_no_diacritic| Chuc mung sinh nhat quy khach! Ngan hang gui tang ban voucher giam gia 20% tai Lazada.
    0| sms_no_diacritic| Yeu cau rut tien tiet kiem cua quy khach da duoc tiep nhan va dang xu ly.
    0| sms_no_diacritic| The tin dung duoi 5678 cua ban da den han thanh toan. So tien toi thieu: 500,000VND.
    1| sms_diacritic   | Tài khoản của quý khách bị khóa do vi phạm điều khoản. Đăng nhập https://bank-login-secure.vn để mở.
    1| sms_diacritic   | Phát hiện giao dịch 15.000.000đ tại nước ngoài. Nếu không phải bạn, nhập OTP tại http://huygiao-dich.com
    1| sms_diacritic   | Cảnh báo bảo mật: Tài khoản đang bị đăng nhập trái phép. Vui lòng xác thực thông tin tại: http://id-bank.com.vn
    1| sms_diacritic   | Ngân hàng hỗ trợ vay vốn lãi suất 0%. Nhấn vào link để đăng ký và nhận OTP xét duyệt: http://vaynhanh.net
    1| sms_diacritic   | Quý khách nhận được khoản tiền hỗ trợ 5.000.000đ từ Chính phủ. Xác nhận tại: http://hotro-nganhang.vn
    1| sms_diacritic   | Cập nhật sinh trắc học ngay để tránh bị gián đoạn giao dịch. Click: http://app-verify-bank.com
    1| sms_diacritic   | Hệ thống đang kiểm tra tính xác thực của chủ thẻ. Vui lòng cung cấp mã OTP gửi về máy để hoàn tất.
    1| sms_diacritic   | Chúng tôi phát hiện rủi ro cao từ tài khoản của bạn. Đổi mật khẩu ngay tại link: http://security-banking.vn
    1| sms_diacritic   | Thông báo hoàn thuế GTGT cho doanh nghiệp. Truy cập http://thue-online.me và làm theo hướng dẫn.
    1| sms_diacritic   | Yêu cầu đổi thiết bị nhận Smart OTP đã được gửi đi. Nếu không phải bạn, nhấn http://stop-request.cc để hủy.
    1| sms_diacritic   | Quý khách có một món quà tri ân từ ngân hàng. Vui lòng đăng nhập http://gift-bank.com để nhận thưởng.
    1| sms_diacritic   | Tài khoản của bạn sẽ bị trừ 2.000.000đ phí duy trì hàng tháng. Để hủy, hãy nhập OTP tại http://cancel-fee.vn
    1| sms_diacritic   | Xác nhận đăng ký dịch vụ vay tiêu dùng thành công. Nếu không đăng ký, click http://huy-vay.net ngay.
    1| sms_diacritic   | Cảnh báo: Tài khoản đang bị tạm khóa. Quý khách vui lòng cung cấp thông tin đăng nhập để nhân viên hỗ trợ.
